,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24,45.04999923706055,45.53499984741211,44.654998779296875,44.74250030517578,43.239437103271484,94858800,126.91000366210938,127.41999816894531,125.97000122070312,126.23999786376953,120.39454650878906,14123400,57.599998474121094,57.71799850463867,56.83549880981445,56.93050003051758,56.865234375,18554000,91.79450225830078,92.08799743652344,90.89250183105469,91.16400146484375,91.16400146484375,67394000,13.321999549865723,13.331999778747559,12.583333015441895,12.708666801452637,12.708666801452637,212049000
2019-05-28,44.72999954223633,45.147499084472656,44.477500915527344,44.557498931884766,43.06064224243164,111792800,126.9800033569336,128.0,126.05000305175781,126.16000366210938,120.3182601928711,23128400,57.07400131225586,57.824501037597656,56.93349838256836,56.97800064086914,56.912681579589844,20948000,91.63749694824219,92.4635009765625,91.36750030517578,91.82150268554688,91.82150268554688,64000000,12.74666690826416,13.0,12.523332595825195,12.579999923706055,12.579999923706055,154693500
2019-05-29,44.10499954223633,44.837501525878906,44.0,44.345001220703125,42.85527801513672,113924800,125.37999725341797,125.38999938964844,124.04000091552734,124.94000244140625,119.15473175048828,22763100,56.6349983215332,56.75,55.59749984741211,55.99700164794922,55.93280792236328,36230000,91.15599822998047,91.5,90.37650299072266,90.95950317382812,90.95950317382812,85580000,12.473333358764648,12.826000213623047,12.336000442504883,12.657333374023438,12.657333374023438,179529000
2019-05-30,44.48749923706055,44.807498931884766,44.16749954223633,44.57500076293945,43.07755661010742,84873600,125.26000213623047,125.76000213623047,124.77999877929688,125.7300033569336,119.90816497802734,16829600,56.00749969482422,56.34000015258789,55.79499816894531,56.070499420166016,56.006221771240234,18088000,91.27449798583984,91.47350311279297,90.3915023803711,90.81600189208984,90.81600189208984,62938000,12.583333015441895,12.817333221435547,12.468000411987305,12.54800033569336,12.54800033569336,118897500
2019-05-31,44.057498931884766,44.497501373291016,43.747501373291016,43.76750183105469,42.297183990478516,108174400,124.2300033569336,124.62000274658203,123.31999969482422,123.68000030517578,117.95307922363281,26646800,55.28200149536133,55.66999816894531,55.16749954223633,55.32500076293945,55.26157760620117,31582000,89.50050354003906,89.77950286865234,88.63500213623047,88.75350189208984,88.75350189208984,92376000,12.34000015258789,12.661333084106445,12.273332595825195,12.343999862670898,12.343999862670898,156100500
2019-06-03,43.900001525878906,44.47999954223633,42.567501068115234,43.32500076293945,41.86954879760742,161584400,123.8499984741211,124.37000274658203,119.01000213623047,119.83999633789062,114.29088592529297,37983600,53.346500396728516,53.349998474121094,51.35150146484375,51.9370002746582,51.87746047973633,96890000,88.00050354003906,88.31449890136719,83.5999984741211,84.6344985961914,84.6344985961914,181974000,12.36733341217041,12.445332527160645,11.799332618713379,11.9313325881958,11.9313325881958,195966000
2019-06-04,43.86000061035156,44.95750045776367,43.630001068115234,44.90999984741211,43.40129852294922,123872000,121.27999877929688,123.27999877929688,120.6500015258789,123.16000366210938,117.4571762084961,29382600,52.2244987487793,52.922000885009766,51.80149841308594,52.7244987487793,52.66405487060547,60512000,84.96199798583984,86.54100036621094,84.04450225830078,86.47799682617188,86.47799682617188,113582000,12.073332786560059,12.932000160217285,11.973999977111816,12.90666675567627,12.90666675567627,207112500
2019-06-05,46.06999969482422,46.247501373291016,45.28499984741211,45.6349983215332,44.10194778442383,119093600,124.94999694824219,125.87000274658203,124.20999908447266,125.83000183105469,120.00353240966797,24926100,52.75,52.84049987792969,51.650001525878906,52.231998443603516,52.172119140625,46988000,87.4800033569336,87.5999984741211,85.76249694824219,86.92500305175781,86.92500305175781,84796000,13.245332717895508,13.41866683959961,12.789999961853027,13.105999946594238,13.105999946594238,202662000
2019-06-06,45.77000045776367,46.36750030517578,45.537498474121094,46.30500030517578,44.74943923950195,90105200,126.44000244140625,127.97000122070312,125.5999984741211,127.81999969482422,121.9013900756836,21459000,52.31050109863281,52.5,51.7755012512207,52.38800048828125,52.327945709228516,29020000,86.885498046875,88.0,86.30650329589844,87.71800231933594,87.71800231933594,73786000,13.629332542419434,14.066666603088379,13.453332901000977,13.729999542236328,13.729999542236328,303633000
2019-06-07,46.627498626708984,47.97999954223633,46.442501068115234,47.537498474121094,45.940528869628906,122737600,129.19000244140625,132.25,128.25999450683594,131.39999389648438,125.31560516357422,33885600,52.7140007019043,53.67150115966797,52.557498931884766,53.41849899291992,53.357261657714844,43828000,88.18499755859375,90.3125,87.97450256347656,90.20149993896484,90.20149993896484,96164000,13.666666984558105,14.055999755859375,13.566666603088379,13.633333206176758,13.633333206176758,240052500
